,District,Crop,Price Date,Crop Price (Rs per quintal)
74,Ariyalur,Banana,Oct-2020,1735
75,Ariyalur,Banana,Nov-2020,1815
76,Ariyalur,Banana,Dec-2020,1870
77,Ariyalur,Banana,Dec-2020,1855
78,Ariyalur,Banana,Jan-2021,1805
79,Ariyalur,Banana,Feb-2021,1870
80,Ariyalur,Banana,Mar-2021,1730
81,Ariyalur,Banana,Apr-2021,1740
82,Ariyalur,Banana,May-2021,1775
83,Ariyalur,Banana,Jun-2021,1715
84,Ariyalur,Banana,Jul-2021,1760
85,Ariyalur,Banana,Jul-2021,1875
86,Ariyalur,Banana,Aug-2021,1855
87,Ariyalur,Banana,Sep-2021,1900
88,Ariyalur,Banana,Nov-2021,1730
89,Ariyalur,Banana,Nov-2021,1770
90,Ariyalur,Banana,Jan-2022,1870
91,Ariyalur,Banana,Feb-2022,1805
92,Ariyalur,Banana,Mar-2022,1855
93,Ariyalur,Banana,Apr-2022,1905
94,Ariyalur,Banana,May-2022,1790
95,Ariyalur,Banana,Jun-2022,1820
96,Ariyalur,Banana,Jun-2022,1895
97,Ariyalur,Banana,Jul-2022,1830
98,Ariyalur,Banana,Aug-2022,1805
99,Ariyalur,Banana,Sep-2022,1760
100,Ariyalur,Banana,Oct-2022,1780
101,Ariyalur,Banana,Oct-2022,1770
102,Ariyalur,Banana,Nov-2022,1810
103,Ariyalur,Banana,Dec-2022,1795
104,Ariyalur,Banana,Jan-2023,1825
105,Ariyalur,Banana,Feb-2023,1845
106,Ariyalur,Banana,Mar-2023,1865
107,Ariyalur,Banana,Mar-2023,1745
108,Ariyalur,Bengal Gram,Feb-2015,5560
109,Ariyalur,Bengal Gram,Feb-2015,5500
110,Ariyalur,Bengal Gram,Feb-2015,5550
111,Ariyalur,Bengal Gram,Mar-2015,5435
112,Ariyalur,Bengal Gram,Mar-2015,5405
113,Ariyalur,Bengal Gram,Mar-2015,5520
114,Ariyalur,Bengal Gram,Mar-2015,5450
115,Ariyalur,Bengal Gram,Mar-2015,5505
116,Ariyalur,Bengal Gram,May-2015,5540
117,Ariyalur,Bengal Gram,May-2015,5540
118,Ariyalur,Bengal Gram,May-2015,5480
119,Ariyalur,Bengal Gram,May-2015,5485
120,Ariyalur,Bengal Gram,May-2015,5530
121,Ariyalur,Bengal Gram,Jun-2015,5565
122,Ariyalur,Bengal Gram,Jun-2015,5415
123,Ariyalur,Bengal Gram,Jun-2015,5405
124,Ariyalur,Bengal Gram,Jun-2015,5520
125,Ariyalur,Bengal Gram,Jun-2015,5470
126,Ariyalur,Bengal Gram,Jul-2015,5405
127,Ariyalur,Bengal Gram,Jul-2015,5440
128,Ariyalur,Bengal Gram,Jul-2015,5460
129,Ariyalur,Bengal Gram,Jul-2015,5460
130,Ariyalur,Bengal Gram,Jul-2015,5465
131,Ariyalur,Bengal Gram,Aug-2015,5470
132,Ariyalur,Bengal Gram,Aug-2015,5540
133,Ariyalur,Bengal Gram,Aug-2015,5400
134,Ariyalur,Bengal Gram,Aug-2015,5525
135,Ariyalur,Bengal Gram,Sep-2015,5455
136,Ariyalur,Bengal Gram,Sep-2015,5400
137,Ariyalur,Bengal Gram,Sep-2015,5465
138,Ariyalur,Bengal Gram,Sep-2015,5405
139,Ariyalur,Bengal Gram,Sep-2015,5410
140,Ariyalur,Bengal Gram,Sep-2015,5525
141,Ariyalur,Bengal Gram,Oct-2015,5595
142,Ariyalur,Bengal Gram,Oct-2015,5455
143,Ariyalur,Bengal Gram,Oct-2015,5470
144,Ariyalur,Bengal Gram,Oct-2015,5505
145,Ariyalur,Bengal Gram,Oct-2015,5435
146,Ariyalur,Bengal Gram,Oct-2015,5455
147,Ariyalur,Bengal Gram,Nov-2015,5490
148,Ariyalur,Bengal Gram,Nov-2015,5420
149,Ariyalur,Bengal Gram,Nov-2015,5445
150,Ariyalur,Bengal Gram,Nov-2015,5545
151,Ariyalur,Bengal Gram,Nov-2015,5505
152,Ariyalur,Bengal Gram,Nov-2015,5555
153,Ariyalur,Bengal Gram,Dec-2015,5585
154,Ariyalur,Bengal Gram,Dec-2015,5545
155,Ariyalur,Bengal Gram,Dec-2015,5510
156,Ariyalur,Bengal Gram,Dec-2015,5455
157,Ariyalur,Bengal Gram,Dec-2015,5415
158,Ariyalur,Bengal Gram,Dec-2015,5405
159,Ariyalur,Bengal Gram,Jan-2016,5495
160,Ariyalur,Bengal Gram,Jan-2016,5595
161,Ariyalur,Bengal Gram,Jan-2016,5490
162,Ariyalur,Bengal Gram,Feb-2016,5590
163,Ariyalur,Bengal Gram,Feb-2016,5405
164,Ariyalur,Bengal Gram,Feb-2016,5470
165,Ariyalur,Bengal Gram,Feb-2016,5480
166,Ariyalur,Bengal Gram,Feb-2016,5455
167,Ariyalur,Bengal Gram,Mar-2016,5475
168,Ariyalur,Bengal Gram,Mar-2016,5585
169,Ariyalur,Bengal Gram,Mar-2016,5510
170,Ariyalur,Bengal Gram,Mar-2016,5570
171,Ariyalur,Bengal Gram,Mar-2016,5425
172,Ariyalur,Bengal Gram,Apr-2016,5575
173,Ariyalur,Bengal Gram,Apr-2016,5420
174,Ariyalur,Bengal Gram,Apr-2016,5580
175,Ariyalur,Bengal Gram,Apr-2016,5415
176,Ariyalur,Bengal Gram,Apr-2016,5590
177,Ariyalur,Bengal Gram,Apr-2016,5560
178,Ariyalur,Bengal Gram,May-2016,5430
179,Ariyalur,Bengal Gram,May-2016,5580
180,Ariyalur,Bengal Gram,May-2016,5505
181,Ariyalur,Bengal Gram,May-2016,5505
182,Ariyalur,Bengal Gram,May-2016,5405
183,Ariyalur,Bengal Gram,Jun-2016,5490
184,Ariyalur,Bengal Gram,Jun-2016,5455
185,Ariyalur,Bengal Gram,Jun-2016,5510
186,Ariyalur,Bengal Gram,Jun-2016,5435
187,Ariyalur,Bengal Gram,Jun-2016,5455
188,Ariyalur,Bengal Gram,Jun-2016,5590
189,Ariyalur,Bengal Gram,Jul-2016,5400
190,Ariyalur,Bengal Gram,Jul-2016,5405
191,Ariyalur,Bengal Gram,Jul-2016,5540
192,Ariyalur,Bengal Gram,Jul-2016,5580
193,Ariyalur,Bengal Gram,Aug-2016,5440
194,Ariyalur,Bengal Gram,Aug-2016,5590
195,Ariyalur,Bengal Gram,Sep-2016,5575
196,Ariyalur,Bengal Gram,Sep-2016,5535
197,Ariyalur,Bengal Gram,Sep-2016,5400
198,Ariyalur,Bengal Gram,Oct-2016,5435
199,Ariyalur,Bengal Gram,Oct-2016,5400
200,Ariyalur,Bengal Gram,Oct-2016,5530
201,Ariyalur,Bengal Gram,Oct-2016,5480
202,Ariyalur,Bengal Gram,Nov-2016,5425
203,Ariyalur,Bengal Gram,Nov-2016,5530
204,Ariyalur,Bengal Gram,Dec-2016,5460
205,Ariyalur,Bengal Gram,Feb-2018,5470
206,Ariyalur,Bengal Gram,Feb-2018,5490
207,Ariyalur,Bengal Gram,Feb-2018,5545
208,Ariyalur,Bengal Gram,Mar-2018,5420
209,Ariyalur,Bengal Gram,Mar-2018,5590
210,Ariyalur,Bengal Gram,Mar-2018,5510
211,Ariyalur,Bengal Gram,Apr-2018,5465
212,Ariyalur,Bengal Gram,Apr-2018,5530
213,Ariyalur,Bengal Gram,Apr-2018,5460
214,Ariyalur,Bengal Gram,May-2018,5505
215,Ariyalur,Bengal Gram,May-2018,5495
216,Ariyalur,Bengal Gram,May-2018,5440
217,Ariyalur,Bengal Gram,Jun-2018,5545
218,Ariyalur,Bengal Gram,Aug-2020,5440
219,Ariyalur,Bengal Gram,Mar-2023,5495
220,Ariyalur,Black Gram,Jan-2020,6370
221,Ariyalur,Black Gram,Jan-2020,6250
222,Ariyalur,Black Gram,Jan-2020,6350
223,Ariyalur,Black Gram,Feb-2020,6400
224,Ariyalur,Black Gram,Feb-2020,6400
225,Ariyalur,Black Gram,Feb-2020,6310
226,Ariyalur,Black Gram,Mar-2020,6330
227,Ariyalur,Black Gram,Mar-2020,6375
228,Ariyalur,Black Gram,Mar-2020,6300
229,Ariyalur,Black Gram,Apr-2020,6290
230,Ariyalur,Black Gram,Apr-2020,6240
231,Ariyalur,Black Gram,Apr-2020,6390
232,Ariyalur,Black Gram,May-2020,6360
233,Ariyalur,Black Gram,May-2020,6305
234,Ariyalur,Black Gram,May-2020,6405
235,Ariyalur,Black Gram,Jun-2020,6275
236,Ariyalur,Black Gram,Jun-2020,6245
237,Ariyalur,Black Gram,Jun-2020,6265
238,Ariyalur,Black Gram,Jul-2020,6385
239,Ariyalur,Black Gram,Jul-2020,6225
240,Ariyalur,Black Gram,Jul-2020,6335
241,Ariyalur,Black Gram,Aug-2020,6245
242,Ariyalur,Black Gram,Aug-2020,6300
243,Ariyalur,Black Gram,Sep-2020,6370
244,Ariyalur,Black Gram,Sep-2020,6290
245,Ariyalur,Black Gram,Sep-2020,6260
246,Ariyalur,Black Gram,Oct-2020,6230
247,Ariyalur,Black Gram,Oct-2020,6370
248,Ariyalur,Black Gram,Oct-2020,6375
249,Ariyalur,Black Gram,Nov-2020,6250
250,Ariyalur,Black Gram,Nov-2020,6280
251,Ariyalur,Black Gram,Nov-2020,6310
252,Ariyalur,Black Gram,Dec-2020,6405
253,Ariyalur,Black Gram,Dec-2020,6255
254,Ariyalur,Black Gram,Dec-2020,6360
255,Ariyalur,Black Gram,Jan-2021,6350
256,Ariyalur,Black Gram,Feb-2021,6325
257,Ariyalur,Black Gram,Feb-2021,6230
258,Ariyalur,Black Gram,Feb-2021,6315
259,Ariyalur,Black Gram,Mar-2021,6245
260,Ariyalur,Black Gram,Mar-2021,6230
261,Ariyalur,Black Gram,Mar-2021,6285
262,Ariyalur,Black Gram,Apr-2021,6335
263,Ariyalur,Black Gram,Apr-2021,6355
264,Ariyalur,Black Gram,Apr-2021,6325
265,Ariyalur,Black Gram,May-2021,6250
266,Ariyalur,Black Gram,May-2021,6230
267,Ariyalur,Black Gram,May-2021,6250
268,Ariyalur,Black Gram,Jun-2021,6360
269,Ariyalur,Black Gram,Jun-2021,6340
270,Ariyalur,Black Gram,Jun-2021,6295
271,Ariyalur,Black Gram,Jul-2021,6325
272,Ariyalur,Black Gram,Jul-2021,6250
273,Ariyalur,Black Gram,Aug-2021,6255
274,Ariyalur,Black Gram,Aug-2021,6350
275,Ariyalur,Black Gram,Aug-2021,6320
276,Ariyalur,Black Gram,Sep-2021,6280
277,Ariyalur,Black Gram,Sep-2021,6225
278,Ariyalur,Black Gram,Sep-2021,6400
279,Ariyalur,Black Gram,Oct-2021,6360
280,Ariyalur,Black Gram,Oct-2021,6330
281,Ariyalur,Black Gram,Nov-2021,6315
282,Ariyalur,Black Gram,Nov-2021,6345
283,Ariyalur,Black Gram,Dec-2021,6375
284,Ariyalur,Black Gram,Dec-2021,6275
285,Ariyalur,Black Gram,Jan-2022,6325
286,Ariyalur,Black Gram,Jan-2022,6365
287,Ariyalur,Black Gram,Jan-2022,6270
288,Ariyalur,Black Gram,Feb-2022,6270
289,Ariyalur,Black Gram,Feb-2022,6335
290,Ariyalur,Black Gram,Feb-2022,6230
291,Ariyalur,Black Gram,Mar-2022,6375
292,Ariyalur,Black Gram,Mar-2022,6340
293,Ariyalur,Black Gram,Mar-2022,6250
294,Ariyalur,Black Gram,Apr-2022,6320
295,Ariyalur,Black Gram,Apr-2022,6330
296,Ariyalur,Black Gram,Apr-2022,6390
297,Ariyalur,Black Gram,May-2022,6330
298,Ariyalur,Black Gram,May-2022,6335
299,Ariyalur,Black Gram,May-2022,6305
300,Ariyalur,Black Gram,Jun-2022,6270
301,Ariyalur,Black Gram,Jun-2022,6365
302,Ariyalur,Black Gram,Jul-2022,6285
303,Ariyalur,Black Gram,Jul-2022,6345
304,Ariyalur,Black Gram,Jul-2022,6365
305,Ariyalur,Black Gram,Aug-2022,6315
306,Ariyalur,Black Gram,Aug-2022,6345
307,Ariyalur,Black Gram,Aug-2022,6290
308,Ariyalur,Black Gram,Sep-2022,6385
309,Ariyalur,Black Gram,Sep-2022,6310
310,Ariyalur,Black Gram,Sep-2022,6385
311,Ariyalur,Black Gram,Oct-2022,6325
312,Ariyalur,Black Gram,Oct-2022,6300
313,Ariyalur,Black Gram,Nov-2022,6385
314,Ariyalur,Black Gram,Nov-2022,6245
315,Ariyalur,Black Gram,Nov-2022,6255
316,Ariyalur,Black Gram,Dec-2022,6250
317,Ariyalur,Black Gram,Dec-2022,6390
318,Ariyalur,Black Gram,Dec-2022,6235
319,Ariyalur,Black Gram,Jan-2023,6300
320,Ariyalur,Black Gram,Jan-2023,6265
321,Ariyalur,Black Gram,Jan-2023,6365
322,Ariyalur,Black Gram,Feb-2023,6300
323,Ariyalur,Black Gram,Feb-2023,6245
324,Ariyalur,Black Gram,Feb-2023,6355
325,Ariyalur,Black Gram,Mar-2023,6375
326,Ariyalur,Black Gram,Mar-2023,6380
327,Ariyalur,Black Gram,Mar-2023,6310
328,Ariyalur,Maize,Jan-2019,1950
329,Ariyalur,Maize,Jan-2019,1900
330,Ariyalur,Maize,Jan-2019,1835
331,Ariyalur,Maize,Feb-2019,1865
332,Ariyalur,Maize,Feb-2019,1850
333,Ariyalur,Maize,Mar-2019,1920
334,Ariyalur,Maize,Mar-2019,1795
335,Ariyalur,Maize,Apr-2019,1770
336,Ariyalur,Maize,Apr-2019,1760
337,Ariyalur,Maize,Apr-2019,1890
338,Ariyalur,Maize,May-2019,1780
339,Ariyalur,Maize,May-2019,1880
340,Ariyalur,Maize,Jun-2019,1795
341,Ariyalur,Maize,Jun-2019,1945
342,Ariyalur,Maize,Jul-2019,1885
343,Ariyalur,Maize,Jul-2019,1940
344,Ariyalur,Maize,Aug-2019,1810
345,Ariyalur,Maize,Aug-2019,1755
346,Ariyalur,Maize,Aug-2019,1855
347,Ariyalur,Maize,Sep-2019,1805
348,Ariyalur,Maize,Sep-2019,1775
349,Ariyalur,Maize,Oct-2019,1915
350,Ariyalur,Maize,Oct-2019,1905
351,Ariyalur,Maize,Nov-2019,1795
352,Ariyalur,Maize,Nov-2019,1815
353,Ariyalur,Maize,Dec-2019,1940
354,Ariyalur,Maize,Dec-2019,1790
355,Ariyalur,Maize,Dec-2019,1785
356,Ariyalur,Maize,Jan-2020,1910
357,Ariyalur,Maize,Jan-2020,1830
358,Ariyalur,Maize,Feb-2020,1950
359,Ariyalur,Maize,Feb-2020,1825
360,Ariyalur,Maize,Mar-2020,1785
361,Ariyalur,Maize,Mar-2020,1910
362,Ariyalur,Maize,Apr-2020,1890
363,Ariyalur,Maize,Apr-2020,1755
364,Ariyalur,Maize,Apr-2020,1760
365,Ariyalur,Maize,May-2020,1765
366,Ariyalur,Maize,May-2020,1945
367,Ariyalur,Maize,Jun-2020,1925
368,Ariyalur,Maize,Jun-2020,1840
369,Ariyalur,Maize,Jul-2020,1845
370,Ariyalur,Maize,Jul-2020,1760
371,Ariyalur,Maize,Aug-2020,1940
372,Ariyalur,Maize,Aug-2020,1920
373,Ariyalur,Maize,Aug-2020,1895
374,Ariyalur,Maize,Sep-2020,1925
375,Ariyalur,Maize,Sep-2020,1810
376,Ariyalur,Maize,Oct-2020,1850
377,Ariyalur,Maize,Oct-2020,1885
378,Ariyalur,Maize,Nov-2020,1815
379,Ariyalur,Maize,Nov-2020,1860
380,Ariyalur,Maize,Dec-2020,1915
381,Ariyalur,Maize,Dec-2020,1875
382,Ariyalur,Maize,Dec-2020,1945
383,Ariyalur,Maize,Jan-2021,1930
384,Ariyalur,Maize,Jan-2021,1850
385,Ariyalur,Maize,Feb-2021,1870
386,Ariyalur,Maize,Feb-2021,1830
387,Ariyalur,Maize,Mar-2021,1765
388,Ariyalur,Maize,Mar-2021,1920
389,Ariyalur,Maize,Mar-2021,1770
390,Ariyalur,Maize,Apr-2021,1770
391,Ariyalur,Maize,Apr-2021,1895
392,Ariyalur,Maize,May-2021,1810
393,Ariyalur,Maize,May-2021,1910
394,Ariyalur,Maize,Jun-2021,1780
395,Ariyalur,Maize,Jun-2021,1910
396,Ariyalur,Maize,Jul-2021,1915
397,Ariyalur,Maize,Jul-2021,1790
398,Ariyalur,Maize,Jul-2021,1795
399,Ariyalur,Maize,Aug-2021,1910
400,Ariyalur,Maize,Aug-2021,1885
401,Ariyalur,Maize,Sep-2021,1920
402,Ariyalur,Maize,Sep-2021,1840
403,Ariyalur,Maize,Oct-2021,1865
404,Ariyalur,Maize,Oct-2021,1755
405,Ariyalur,Maize,Nov-2021,1880
406,Ariyalur,Maize,Nov-2021,1805
407,Ariyalur,Maize,Nov-2021,1880
408,Ariyalur,Maize,Dec-2021,1845
409,Ariyalur,Maize,Dec-2021,1840
410,Ariyalur,Maize,Jan-2022,1775
411,Ariyalur,Maize,Jan-2022,1835
412,Ariyalur,Maize,Feb-2022,1940
413,Ariyalur,Maize,Feb-2022,1880
414,Ariyalur,Maize,Feb-2022,1840
415,Ariyalur,Maize,Mar-2022,1850
416,Ariyalur,Maize,Mar-2022,1920
417,Ariyalur,Maize,Apr-2022,1765
418,Ariyalur,Maize,Apr-2022,1915
419,Ariyalur,Maize,May-2022,1835
420,Ariyalur,Maize,May-2022,1845
421,Ariyalur,Maize,Jun-2022,1765
422,Ariyalur,Maize,Jun-2022,1845
423,Ariyalur,Maize,Jun-2022,1850
424,Ariyalur,Maize,Jul-2022,1815
425,Ariyalur,Maize,Jul-2022,1850
426,Ariyalur,Maize,Aug-2022,1925
427,Ariyalur,Maize,Aug-2022,1855
428,Ariyalur,Maize,Sep-2022,1875
429,Ariyalur,Maize,Sep-2022,1755
430,Ariyalur,Maize,Oct-2022,1840
431,Ariyalur,Maize,Oct-2022,1790
432,Ariyalur,Maize,Oct-2022,1920
433,Ariyalur,Maize,Nov-2022,1900
434,Ariyalur,Maize,Nov-2022,1860
435,Ariyalur,Maize,Dec-2022,1820
436,Ariyalur,Maize,Dec-2022,1770
437,Ariyalur,Maize,Jan-2023,1855
438,Ariyalur,Maize,Jan-2023,1860
439,Ariyalur,Maize,Feb-2023,1915
440,Ariyalur,Maize,Feb-2023,1855
441,Ariyalur,Maize,Feb-2023,1790
442,Ariyalur,Maize,Mar-2023,1900
443,Ariyalur,Maize,Mar-2023,1925
444,Ariyalur,Rice,Apr-2010,1315
445,Ariyalur,Rice,Sep-2010,1280
446,Ariyalur,Rice,Apr-2011,1440
447,Ariyalur,Rice,Jul-2011,1305
448,Ariyalur,Rice,Jun-2012,1365
449,Ariyalur,Rice,Oct-2012,1295
450,Ariyalur,Rice,Dec-2012,1440
451,Ariyalur,Rice,Dec-2012,1365
452,Ariyalur,Rice,Mar-2013,1385
453,Ariyalur,Rice,Jul-2013,1370
454,Ariyalur,Rice,Aug-2013,1325
455,Ariyalur,Rice,Nov-2013,1295
456,Ariyalur,Rice,Feb-2014,1400
457,Ariyalur,Rice,Mar-2014,1460
458,Ariyalur,Rice,Dec-2014,1400
459,Ariyalur,Rice,Feb-2015,1425
460,Ariyalur,Rice,May-2015,1320
461,Ariyalur,Rice,May-2015,1405
462,Ariyalur,Rice,Feb-2016,1425
463,Ariyalur,Rice,Oct-2016,1285
464,Ariyalur,Rice,Jan-2017,1310
465,Ariyalur,Rice,Feb-2017,1290
466,Ariyalur,Rice,Mar-2017,1285
467,Ariyalur,Rice,Mar-2017,1395
468,Ariyalur,Rice,Apr-2017,1285
469,Ariyalur,Rice,Apr-2017,1320
470,Ariyalur,Rice,Apr-2017,1425
471,Ariyalur,Rice,May-2017,1290
472,Ariyalur,Rice,Jun-2017,1325
473,Ariyalur,Rice,Jul-2017,1475
474,Ariyalur,Rice,Jul-2017,1345
475,Ariyalur,Rice,Aug-2017,1455
476,Ariyalur,Rice,Aug-2017,1420
477,Ariyalur,Rice,Sep-2017,1405
478,Ariyalur,Rice,Oct-2017,1295
479,Ariyalur,Rice,Oct-2017,1385
480,Ariyalur,Rice,Oct-2017,1470
481,Ariyalur,Rice,Nov-2017,1370
482,Ariyalur,Rice,Nov-2017,1425
483,Ariyalur,Rice,Dec-2017,1385
484,Ariyalur,Rice,Dec-2017,1360
485,Ariyalur,Rice,Jan-2018,1345
486,Ariyalur,Rice,Jan-2018,1390
487,Ariyalur,Rice,Jan-2018,1440
488,Ariyalur,Rice,Feb-2018,1400
489,Ariyalur,Rice,Feb-2018,1400
490,Ariyalur,Rice,Feb-2018,1315
491,Ariyalur,Rice,Feb-2018,1325
492,Ariyalur,Rice,Mar-2018,1290
493,Ariyalur,Rice,Mar-2018,1280
494,Ariyalur,Rice,Mar-2018,1465
495,Ariyalur,Rice,Apr-2018,1460
496,Ariyalur,Rice,Apr-2018,1425
497,Ariyalur,Rice,May-2018,1420
498,Ariyalur,Rice,Jun-2018,1440
499,Ariyalur,Rice,Jul-2018,1385
500,Ariyalur,Rice,Jul-2018,1435
501,Ariyalur,Rice,Jul-2018,1280
502,Ariyalur,Rice,Aug-2018,1395
503,Ariyalur,Rice,Aug-2018,1280
504,Ariyalur,Rice,Oct-2018,1315
505,Ariyalur,Rice,Oct-2018,1475
506,Ariyalur,Rice,Oct-2018,1475
507,Ariyalur,Rice,Nov-2018,1450
508,Ariyalur,Rice,Dec-2018,1290
509,Ariyalur,Rice,Jan-2019,1300
510,Ariyalur,Rice,Jan-2019,1385
511,Ariyalur,Rice,Jan-2019,1315
512,Ariyalur,Rice,Feb-2019,1435
513,Ariyalur,Rice,Feb-2019,1415
514,Ariyalur,Rice,Feb-2019,1290
515,Ariyalur,Rice,Feb-2019,1370
516,Ariyalur,Rice,Mar-2019,1290
517,Ariyalur,Rice,Apr-2019,1355
518,Ariyalur,Rice,Apr-2019,1405
519,Ariyalur,Rice,May-2019,1385
520,Ariyalur,Rice,May-2019,1360
521,Ariyalur,Rice,May-2019,1415
522,Ariyalur,Rice,Jun-2019,1310
523,Ariyalur,Rice,Jul-2019,1310
524,Ariyalur,Rice,Jul-2019,1425
525,Ariyalur,Rice,Jul-2019,1355
526,Ariyalur,Rice,Aug-2019,1405
527,Ariyalur,Rice,Aug-2019,1345
528,Ariyalur,Rice,Sep-2019,1440
529,Ariyalur,Rice,Sep-2019,1460
530,Ariyalur,Rice,Oct-2019,1435
531,Ariyalur,Rice,Oct-2019,1410
532,Ariyalur,Rice,Oct-2019,1445
533,Ariyalur,Rice,Nov-2019,1355
534,Ariyalur,Rice,Nov-2019,1360
535,Ariyalur,Rice,Dec-2019,1305
536,Ariyalur,Rice,Dec-2019,1355
537,Ariyalur,Rice,Feb-2020,1375
538,Ariyalur,Rice,Feb-2020,1435
539,Ariyalur,Rice,Aug-2020,1470
540,Ariyalur,Rice,Sep-2020,1315
541,Ariyalur,Rice,Nov-2020,1300
542,Ariyalur,Rice,Jan-2021,1450
543,Ariyalur,Rice,Mar-2021,1295
544,Ariyalur,Rice,Mar-2021,1435
545,Ariyalur,Rice,Aug-2021,1290
546,Ariyalur,Rice,Nov-2021,1405
547,Ariyalur,Rice,Apr-2022,1360
548,Ariyalur,Rice,May-2022,1455
549,Ariyalur,Rice,Aug-2022,1355
550,Ariyalur,Rice,Sep-2022,1330
551,Ariyalur,Rice,Dec-2022,1435
552,Chennai,Coconut,Jan-2019,2625
553,Chennai,Coconut,Jan-2019,2605
554,Chennai,Coconut,Feb-2019,2535
555,Chennai,Coconut,Feb-2019,2720
556,Chennai,Coconut,Mar-2019,2635
557,Chennai,Coconut,Mar-2019,2685
558,Chennai,Coconut,Apr-2019,2685
559,Chennai,Coconut,Apr-2019,2620
560,Chennai,Coconut,May-2019,2630
561,Chennai,Coconut,May-2019,2610
562,Chennai,Coconut,Jun-2019,2565
563,Chennai,Coconut,Jun-2019,2635
564,Chennai,Coconut,Jul-2019,2590
565,Chennai,Coconut,Jul-2019,2640
566,Chennai,Coconut,Aug-2019,2710
567,Chennai,Coconut,Aug-2019,2570
568,Chennai,Coconut,Sep-2019,2640
569,Chennai,Coconut,Sep-2019,2615
570,Chennai,Coconut,Oct-2019,2625
571,Chennai,Coconut,Oct-2019,2675
572,Chennai,Coconut,Nov-2019,2560
573,Chennai,Coconut,Nov-2019,2540
574,Chennai,Coconut,Dec-2019,2610
575,Chennai,Coconut,Dec-2019,2670
576,Chennai,Coconut,Jan-2020,2615
577,Chennai,Coconut,Jan-2020,2610
578,Chennai,Coconut,Feb-2020,2565
579,Chennai,Coconut,Feb-2020,2620
580,Chennai,Coconut,Mar-2020,2560
581,Chennai,Coconut,Mar-2020,2695
582,Chennai,Coconut,Apr-2020,2720
